,Algeria Hassi R’Mel,Angola Girassol,Angola Kuito,Angola Takula,Australia Cossack,Azerbaijan Azeri,Brazil Frade,Brazil Lula,Canada Hibernia,China Bozhong,China Nanhai Light,China Qinhuangdao,Colombia Caño Limón,Colombia Cusiana,Ecuador Sacha,India Bombay High,Indonesia Duri,Indonesia Minas,Iran Aboozar,Iran Marun,Iraq Kirkuk,Iraq Rumaila,Iraq West Qurna,Iraq Zubair,Kazakhstan Tengiz,Kuwait Burgan,Kuwait Ratawi,Libya Waha,Mexico Chuc,Nigeria Agbami,Nigeria Bonga,Nigeria Bonny,Nigeria Escravos Beach,Nigeria Obagi,Nigeria Pennington,Norway Ekofisk,Norway Oseberg,Norway Skarv,Qatar Bul Hanine,Qatar Dukhan,Russia Romashkinskoye,Russia Samotlor,Saudi Arabia Ghawar,Saudi Arabia Safaniya,Saudi Arabia Zuluf,United Arab Emirates Fateh,United Arab Emirates Murban,U.S.  Alaska North Slope,U.S. Bakken Flare,U.S. Bakken No Flare,U.S. Texas Eagle Ford Black Oil Zone,U.S. Texas Eagle Ford Volatile Oil Zone,U.S. Texas Eagle Ford Condensate Zone,U.S.  East Texas Field,U.S. Louisiana Lake Washington Field,U.S. Gulf Mars,U.S. California Midway Sunset,U.S. Wyoming Salt Creek,U.S. California South Belridge,U.S. Texas Spraberry,U.S. Gulf Thunder Horse,U.S. Wyoming WC,U.S. California Wilmington,U.S. Texas Yates,Venezuela Hamaca SCO,Venezuela Tia Juana,Canada Cold Lake CSS Dilbit,Canada Athabasca SAGD Dilbit,Canada Athabasca DC SCO,Canada Athabasca FC-HC SCO,Denmark Dansk Blend,Mexico Cantarell,Russia Chayvo,UK Forties Blend,Venezuela Merey Blend
Surplus RFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus NCR H2,14891762.83,0,0,0,3665368.773,2259283.939,0,0,0,0,3659881.207,0,0,0,0,0,0,2239501.107,0,0,0,0,0,0,0,0,0,0,0,5135250.377,0,0,826957.516,0,904494.1888,0,499132.657,1002590.892,0,0,0,3931946.764,0,0,0,0,0,0,1234731.895,1234731.895,4748399.992,1795299.285,7179994.651,1008920.854,757060.2367,0,0,414913.4358,0,2301163.976,0,414913.4358,0,0,5303060.965,0,0,0,812277.345,1143229.151,1518612.355,0,0,0,0
Liquefied Petroleum Gases (LPG),15223629.21,5366017.57,22305500.16,6115956.324,7362557.972,4812572.264,23251880.94,7372460.938,5934234.541,21622468.91,5223124.997,21079572.4,6065965.866,7895529,6167672.26,7200793.521,27018337.48,3449899.072,5231585.778,6677580.621,7679997.755,6425142.889,4538583.473,6729021.57,8910253.515,5002211.266,4164139.544,6209113.617,7747565.36,5889902.569,6299506.543,5711243.98,3465361.769,5711243.98,5372953.557,6251759.873,7662546.749,6708329.366,5814689.394,7984017.848,6692042.003,6644649.217,6945979.067,5756451.94,6238889.431,7333108.795,8362006.676,6877683.293,7287040.35,7287040.35,7594859.442,10075674.39,14581338.25,6238245.97,6103800.811,7020807.632,21926251.1,5883838.241,26591770.45,7496014.296,7435316.166,5883838.241,25217678.97,7997926.275,5906754.365,22583220.58,18957251.62,18686970.68,3957258.716,4396711.66,5016417.194,5041728.977,6798443.714,8740151.907,24165485.16
Petrochemical Feedstocks,10884195.96,4411325.115,13719295.11,5090891.574,5493915.403,3515691.755,14138296.09,6266280.599,4724598.425,13073732.6,3893580.89,12890992.37,5056568.901,6210730.658,4879636.738,5345129.277,15923393.81,2533994.249,4096487.585,5284962.272,6025319.995,4988516.61,3630208.286,5265319.259,7250297.902,4193828.353,3403785.478,4993378.77,6213346.881,4418118.553,4101317.22,4062736.219,2557732.064,4062736.219,4053574.411,4463446.855,5647866.17,5020739.487,4624438.758,6200297.897,5355023.127,4975327.127,5557526.28,4589025.932,5024491.077,5969325.202,6563953.709,5373148.686,5439405.943,5439405.943,5444461.516,7268091.509,10478418.61,4487155.952,4523039.432,5657996.989,13295789.01,4242030.78,15852681.28,5593796.138,5813463.005,4242030.78,15119640.26,6392562.181,4411423.702,13294491.59,11257851.95,11054027.83,2802998.412,3064085.162,3829711.408,4023359.115,5029880.535,6720768.228,14741105.82
Asphalt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gasoline S wt%,0,2.33E-05,5.53E-05,4.13E-06,0,0,5.19E-05,2.39E-05,2.25E-05,2.24E-05,0,2.31E-05,1.95E-05,6.17E-05,3.53E-05,0,1.46E-05,0,0.000122957,7.00E-05,0.000107092,0.000135841,0.000441642,0.000152951,4.25E-05,0.000268105,0.000232342,3.40E-05,6.49E-05,0,3.44E-06,0,0,0,0,0,0,0,0.000203181,8.08E-05,6.82E-05,0,9.13E-05,0.000123398,0.000141993,0.000122702,5.00E-05,4.44E-05,0,0,0,0,0,0,0,8.69E-05,6.74E-05,0,1.27E-05,0,3.79E-05,0,0,7.42E-05,3.82E-05,0.000208346,0.000257955,0.000240054,0,0,0,0.00012834,0,3.78E-05,0.000139295
Gasoline H2 wt%,14.27976177,14.24885827,14.6773632,14.30546383,13.51565943,13.29477585,14.79259238,14.3833353,14.33759198,14.9099188,13.08999003,14.82371614,13.96262532,14.21692031,13.97652839,13.40955364,14.97994426,13.10683223,14.44054333,14.16930989,14.040943,14.25083749,14.09544364,14.17767015,13.57264412,13.93303946,13.86221249,14.03132384,13.88778,13.14302012,14.69207649,13.64509268,13.10210923,13.64509268,12.83676939,13.91099747,13.58804768,13.260065,13.97971831,14.12921503,14.08023228,13.29919984,14.04974904,14.22553214,14.05895002,13.96144833,14.04963802,14.12863019,13.32755535,13.32755535,13.87381203,14.01913582,14.18666593,13.76145851,13.1749091,13.66886809,14.86874339,13.68618918,14.88870444,13.41851938,14.18664415,13.68618918,14.86981561,13.99097162,14.80380337,14.97467649,15.38340201,15.7989819,13.5887299,13.49604609,12.86917074,13.97226397,13.4004907,14.15451013,14.86039935
mass_flow_kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasoline,9400187.059,3721573.078,5695261.684,4525414.248,3603820.219,2127400.759,5701814.588,5642507.05,4270441.269,5302347.706,2246733.517,5193462.287,3910971.204,5251965.96,3715517.553,3389163.588,5718994.677,1466964.741,3787939.606,4357963.219,4715070.662,4235656.109,2846375.809,4303979.76,4851120.835,3074985.848,2455795.856,3936184.659,4588982.505,2589826.586,4257155.476,2767088.629,1479472.735,2767088.629,2185536.024,3338905.097,3788629.491,3044726.341,3493739.444,5056014.871,4241987.882,3023109.881,4359795.653,3876714.984,3977184.31,4527196.096,5224752.022,4355403.641,3365156.084,3365156.084,4019232.57,5556070.721,8729153.179,3183936.243,2672541.758,3843225.535,6023172.514,2933721.956,5862060.468,3558628.712,4815908.177,2933721.956,6581506.542,4887393.711,4841411.154,4892895.532,5462796.681,5658133.938,1864758.601,1983134.373,2085093.627,3060400.917,3179271.549,5527464.204,6642885.568
Jet Fuel,959662.3313,2363811.399,1312496.58,2056536.67,2513691.79,3078246.554,1183963.466,2372659.196,2429146.238,1058171.593,2952054.947,1227074.399,2856241.16,3194308.296,3064407.664,3449843.079,738522.5664,2305197.307,2532637.227,2611911.874,2616900.017,2619653.772,2118073.739,2058231.017,3394403.983,2155348.097,1851096.169,2325863.322,2573682.104,3126864.287,4148786.26,3612768.304,1360031.895,3612768.304,2821465.176,2721904.35,3024233.467,2675347.621,2240064.698,2817381.106,2598876.871,3079912.916,2838968.291,2240399.458,2571052.481,2698106.594,2862470.69,2200899.018,3167832.635,3167832.635,3126882.64,3159178.179,1841747.326,3065923.594,3608111.128,2083560.837,2201893.241,3060201.962,1242049.563,2989992.938,2439143.463,3060201.962,1350395.01,2823951.849,2705794.508,1330291.092,1462682.808,1450148.719,3807930.767,3669486.915,2310025.515,2018799.584,3075835.223,2103268.439,1680614.739
